ad_archive_id,claims
1501205007127687,"{""Claims"": [""Macedonian people will win the platform"", ""The government should prioritize red lines in defense of the Macedonian state"", ""The regime of SDS and DUI has been dictatorial and needs to be ended""]}"
1867634487041320,"{""Claims"": [""A lot of damage can be prevented by stopping the small evil."", ""Youthful and inexperienced individuals should not be allowed to represent the people."", ""The state needs to intervene in agriculture to ensure a stable food supply.""]}"
767405418873659,"{""Claims"": [""Macedonia is a long and wide work, started ages ago, left for us to preserve."", ""The ideology of patriotism teaches you from your grandmother!"", ""The death of fascism, the freedom of the people! They have not given up yet. The battle is not over! We are tasked with building a more beautiful Macedonia.""]}"
893383299467824,"{""Claims"": [""Every given vote for SDS is thrown into the drain."", ""We are committing to the left values and we will not participate in another project like NDS, which is presented as center-left. That means we promise left, we act the same - just like SDS promised progressive taxation to left voters and ended up at the center of the flat tax!"", ""We will not participate in another project that is represented as center-left.""]}"
7319438911509170,"{""Claims"": [""The establishment of a unified national consensus to prevent the ongoing undermining of the Republic of North Macedonia"", ""The country should be organized into one electoral unit and bans on monolithic and ethnically pure parties"", ""There is no room for the historical commission's revisions of Macedonian anti-fascist history and a decisive 'no' to the inclusion of Bulgarians in the Constitution""]}"
425810480149541,"{""Claims"": [""Artn Grubi is dissolving the contract with Sinohydro for the Kichevo-Ochrid highway, allegedly for personal gain through Bechtel and Enka as his project"", ""\u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430 is a carrier of Electoral Unit 5 from the Political Party of the Left"", ""She [\u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430] was a guest on TERA TV""]}"
357373326807448,"{""Claims"": [""PAN is a highly advanced AI-driven cybersecurity platform that detects and prevents attacks before they occur."", ""Ariston is an innovative solution for automated penetration testing, which helps organizations test their defenses and identify vulnerabilities."", ""Metron is a cutting-edge threat intelligence platform that provides real-time insights into emerging threats and empowers organizations to stay ahead of the curve.""]}"
1173874757308369,"{""Claims"": [""No compensation will be taken from the assembly"", ""Unwavering in the committee"", ""Power without left is not allowed""]}"
786931613090911,"{""Claims"": [""Macedonian Platform in five points"", ""Response to 'moratorium on attacks'"", ""Unwavering in the Assembly""]}"
936635301540215,"{""Claims"": [""Macedonia is economically oppressed by foreign capital. A state that does not possess strategic resources is equal to a protectorate!"", ""A state without left-wing government is not capable of governing"", ""Strategic resources are the key to independence""]}"
767605835352373,"{""Claims"": [""Not submissive in the Assembly"", ""No power without left"", ""Surround 5""]}"
1125849115121370,"{""Claims"": [""2020: We won over 37,000 votes and entered the Assembly. It's hard to get in, only the big ones succeed."", ""2024: We collected signatures for our presidential candidate in just 6 days without any coalition, winning 42,000 votes at our baptism by fire with a supportive independent candidate on whose behalf I will kneel down until my death for the fight."", ""W-ork with others, I-nvolve in life, N-ever quit""]}"
1432786707437054,"{""Claims"": [""The party was created from activists, syndicalists, freelancers, and workers."", ""The party gained over 37,000 votes but only two representatives were elected due to the electoral system."", ""The party revived its principles despite facing bankruptcy and financial struggles.""]}"
1141850897012271,"{""Claims"": [""A government is measuring with wrong scales, not touching reality."", ""The industrial energy fee paid by businesses such as shops, gardens, hospitals, and schools is unjustifiable."", ""There is no country in the EU that does not have a luxury tax.""]}"
1591809298283564,"{""Claims"": [""You are trying to make the same mistakes again, entering a loser's process because you want and need us as a Macedonian nation to get used to defeats""], [""The history is becoming part of the negotiating framework instead of discussing Copenhagen criteria, we will negotiate what was Czar Samoil, what was Goce Delchev, what was the Ilinden Uprising""], [""You have made unilateral statements about the Macedonian language that are officially archived in European archives, stating that the Macedonian language is a West-Bulgarian dialect""]}"
1969059880191686,"{""Claims"": [""Pendarovski surrenders"", ""The people will judge the chauvinists and amnestied terrorists on May 8th""]}"
960751595243761,"{""Claims"": [""Tenfold increase in the budget for education and science."", ""Free textbooks and free meals for all students. Subsidization of cultural activities for students. Abolition of participations and tuition fees at faculties. Digitalization of higher school textbooks on the principle of 'open access'. Reduction of state universities to four.""]}"
290104560813309,"{""Claims"": [""Let's put an end to the theft of people's money! Let's reset the system! With a two-digit number of deputies, we'll be the biggest obstacle to their criminal laws, harmful policies and privatization of public goods. The power of the fight and our shared destiny depends on you!"", ""Unyielding in Parliament"", ""Do not let them rule without Left""]}"
460138409786974,"{""Claims"": [""HAPPY TO THOSE WHO ARE 'BIJOND' SITUATION AND DO NOT MAKE A SOUND"", ""SILENT CHOICE IS NOT AN OPTION"", ""THERE ARE PEOPLE FOR WHOM WE SHOULD CARE""]}"
1490529958561891,"{""Claims"": [""National unity is more important than ever"", ""It's necessary to ensure national unity by ceasing attacks on parties 'Left' and 'Znam'"", ""We must find a common language, regardless of personal or partisan interests""]}"
752637006982957,"{""Claims"": [""We are starting from Vele\u0161 because every piece of the pavement is History."", ""We will not stop until we shake things up like shaking an apple!"", ""The people's spirit should never fall, as Racin would say: 'Let the dust settle'!""]}"
1669156760521692,"{""Claims"": [""The price we pay for silence and apathy is too high!"", ""No family is immune to the exodus that they make us go through"", ""It's our responsibility to take control!""]}"
423231863682380,"{""Claims"": [""Macedonia shall not be ruled under oppression"", ""We shall not tolerate unjust lies"", ""For the freedom of the world's nations, with songs and joy, we strive!""]}"
1004602458066929,"{""Claims"": [""The price we pay for silence and apathy is too high!"", ""No family is immune to the exodus that they make us go through."", ""We must take back control!""]}"
821813873185734,"{""Claims"": [""Na\u00efve is the best way to punish corrupt political elites by voting in elections."", ""Let's stand up for our homes, families and ourselves. Let's VOTE for Left!"", ""There should be no government without the Left.""]}"
749806020687191,"{""Claims"": [""Macedonia's merits are being returned"", ""The National Assembly is unyielding"", ""There is no government without the Left""]}"
1360924157956801,"{""Claims"": [""The price we pay for silence and apathy is too high!"", ""No family has not been victimized by the exodus that they are making. We have left children, brothers, sisters, friends... We have abandoned home and hearth! It's up to us to fill them again!"", ""Without a Left in the Government""]}"
322668077232559,"{""Claims"": [""This is a weekend edition of the newspaper SLOBOden PECAT dated 20-21 April 2024"", ""There are large illustrations in this publication"", ""Nata\u0161a Ko\u0161tovska drew these illustrations for Slobodne pecat""]}"
438296632075316,"{""Claims"": [""We are starting a 6-debate cycle across the 6 electoral units from today"", ""What questions would candidates ask future representatives?"", ""Which political questions remain unanswered?""]}"
447051244515548,"{""Claims"": [""Only organized political struggle can bring a new, progressive society."", ""Your silence is the power of those who rule."", ""The Left must be in Parliament.""]}"
448925164366354,"{""Claims"": [""We will bring change! We are the last matchstick in the box. Let's light the fire of change!"", ""There won't be a government without Left"", ""Surround us 5 times""]}"
416106777826139,"{""Claims"": [""Time has come for decisive battle, stand with us! Together we can reclaim what was unjustly taken away from the Macedonian people. Only through joint struggle can we succeed!"", ""We can only succeed through joint struggle"", ""Together we can reclaim what was unjustly taken away""]}"
2218636998475009,"{""Claims"": [""Now, most needed is a single and conscious nation. The oppressor has no mercy for the oppressed, therefore let's fight decisively! Your vote is your weapon for revenge!"", ""Undeterred in the Assembly"", ""No Government Without Left""]}"
281082605056138,"{""Claims"": [""The current struggle in institutions proves that your vote matters! Elections are our revenge! Come out and VOTE for Left!"", ""Unbowed in the Assembly"", ""No Government Without Left""]}"
1412284012761531,"{""Claims"": [""The two largest parties VMRO-DPMNE and SDSM still use harmful narratives in their communication."", ""Lewis is also using harmful narratives, while DU I shows an increase in such announcements compared to previous months."", ""There has been no change in the party that uses most harmful narratives in March.""]}"
432647419356542,"{""Claims"": [""There is no change in March regarding which political party uses harmful narratives in communication the most. V\u041c\u0420\u041e-D\u041f\u041c\u041d\u0415 and \u0421\u0414\u0421\u041c are the two largest parties that use such narratives."", ""The Left also starts to be included, while at DU\u0418 there is an increase in similar announcements compared to previous months."", ""This shows the latest, fifth report from the Institute for Communication Studies within the research framework 'Measuring political harmful narratives' (SH\u0422\u0415\u0422-\u041d\u0410).""]}"
318839371222287,"{""Claims"": [""Online media outlets broadcast approximately two harmful narratives per piece, mainly disseminating information from parties or speeches by politicians."", ""Mostly, harmful narratives are transmitted without any intervention, but there are cases where a journalist even endorses them."", ""Some online media outlets least respected professional journalistic standards.""]}"
262053870229963,"{""Claims"": [""We won't tolerate unfair lies"", ""For the freedom of the world's people with songs and joy"", ""Undeterred in the Assembly""]}"
744468547676689,"{""Claims"": [""Levica has a plan to take, destroy and steal for decades"", ""They will turn Macedonia into a laundry basket for their black money"", ""Macedonian people have their own plan""]}"
449034970984684,"{""Claims"": [""The parties exchanged accusations and negative portrayals of each other through social media, audiovisual, and graphic content."", ""Some political leaders were labeled as 'deserters', ' pale copy of Gruveski', 'dictator' and 'bandits'."", ""The leader at the top of the list in terms of using harmful narratives was not specified.""]}"
1226368368334734,"{""Claims"": [""Politicians and political parties use harmful narratives to undermine trust in institutions and manipulate public opinion."", ""Harmful narratives are used by politicians and political parties to attack personal character or demonize others, which can lead to division and populism."", ""The two largest political parties (VMRO-DPMNE and SDSM) are the most frequent users of harmful narratives, with VMRO-DPMNE being the leader in this regard.""]}"
2557556714424607,"{""Claims"": [""Political parties and leaders often use unverified accusations and opinions to spread harmful narratives."", ""These narratives aim to erode trust in institutions and manipulate public opinion by selectively presenting data."", ""They frequently employ personal attacks, demonization, and populism to achieve their goals.""]}"
2136454510053458,"{""Claims"": [""The two largest political parties VMRO-DPMNE (311 publications) and SDSM (228 publications) are clearly leading in the publication of harmful narratives."", ""Harmful narratives contained more than one-third of the total number of publications by political parties and leaders."", ""Parties and leaders use unverified accusations and often biased views to undermine trust in institutions and manipulate public opinion through selective presentation of data.""]}"
410474885033615,"{""Claims"": [""Radical changes are possible and necessary!"", ""We're in a fight against the black plague SDS-DPMNE-DUI, join us!"", ""I'm coming to take back what's rightfully ours for the nation!""]}"
795375728817551,"{""Claims"": [""The building's investor and executor, Neffi IK, tore down the recognizable white house where a few communists were sentenced to death and imprisonment on November 26-27, 1941."", ""This act of vandalism was carried out with the approval of Neffi IK's tender-partner."", ""Anti-fascist resistance in Ohrid against Bulgarian fascist occupier is being hindered.""]}"
960566182362694,"{""Claims"": [""Populism, expansion of panic, fear and uncertainty, and encouragement of extreme nationalism and patriotism are the main characteristics in the narratives of political parties."", ""The main features in the narratives of political parties include defaming, belittling and labeling political opponents."", ""Parties and politicians' actions in January and February can be read in the short and long versions of the third report of the Institute for Communication Studies within the research 'Measuring harmful narratives'.""]}"
787827139527520,"{""Claims"": [""Populism, expansion of panic, fear and uncertainty, and encouragement of extreme nationalism and patriotism..."", ""Naverdi, poni\u017eavanje, and etiketiranje on political opponents are main features in the narratives of political parties."", ""Poltical parties and politicians in January and February can be read in a short and long version of the third report of the Institute for Communication Studies within the research 'Measuring Political Harmful Narratives' (HARMTIVE)""]}"
800550274751349,"{""Claims"": [""Political parties create harmful narratives in their kitchens and use party bulletins as a channel for communication."", ""The two largest parties are the creators of at least the most harmful narratives. Mainly mutual accusations, dominant being those about 'criminal structures that do not care about national interests', to 'obstacles to European integrations'."", ""Harmful narratives dominate the palette.""]}"
936385071549300,"{""Claims"": [""Narratives are often created in the kitchens of political parties and their preferred channel for communication is party bulletins."", ""The two largest parties create at least as many harmful narratives. The main accusations are mutual blame, with those about 'criminal structures that don't care about national interests' and 'obstructionists to European integrations'"", ""Harmful narratives can be found in the findings of the Institute for Communication Studies research 'Measuring Political Harmful Narratives' (STET-NA)""]}"
401404635973451,"{""Claims"": [""NATO does not carry democracy!"", ""NATO is a violator of international law and the UN Charter."", ""The Macedonian government did not follow the constitutional requirement for membership in NATO, which means it went against the will of the people.""]}"
812405157381824,"{""Claims"": [""Demokrati is against 78% increase in official salaries and supports linear increase in pensions and no pension below the minimum wage"", ""Demokrati advocates for free education and mandatory internship for graduates, as well as requalification and re-education to increase labor market competitiveness"", ""Demokrati demands fair and transparent governance, with equal opportunities and no privilege for high-profile officials""]}"
929379795548737,"{""Claims"": [""DEMOKRATI is against 78% increase in official salaries and supports linear pension increases"", ""DEMOKRATI supports students' demands for better living standards, including timely stipend payments, decent accommodation, and access to internet"", ""DEMOKRATI advocates for the development of agriculture and production of all agricultural cultures in Macedonia before importing from abroad""]}"
1602001287215398,"{""Claims"": [""We teach students to read laws, and ask who makes the laws? Lawmakers are... Let me count five MPs if it will go through. And I'm calling out why such people make our laws, better we should do it ourselves, let us get inside""]}"
422896030250444,"{""Claims"": [""JKP Vodovod so doping recognize that the channels intended for atmospheric waters are considered as a type of sewage network, which effectively puts the health of many residents of Ilinaden municipality in danger."", ""The present and past management of DPNE have put residents at risk of various diseases due to the spread of fecal matter on open space."", ""DPNE charges citizens for non-existent services, just like SDS, for example, through a regulatory commission for access to a network in electricity bills, while DPNM does so through JKP Vodovod for sewage in an inexistent sewer network.""]}"
2070252356681949,"{""Claims"": [""VLEN is in high demand"", ""The demand for VLEN is increasing rapidly"", ""VLEN has a significant presence""]}"
7483376685062074,"{""Claims"": [""EVMRO-DPME and Left-wing parties are in one block or group that does not believe in European integration."", ""All other parties that believe in European integration are in another block."", ""The VMRO-DPME had many opportunities to show whether they were for the European Union or not.""]}"
952912426456843,"{""Claims"": [""Political opponents are slandered by all larger parties"", ""Politicians spread harmful narratives"", ""Personal attacks on political opponents occur""]}"
417966807376912,"{""Claims"": [""The VLEN Coalition is stronger than BDI and others"", ""The latest IPIS survey ranks the VLEN Coalition as the strongest"", ""The VLEN Coalition outperforms BDI and other coalitions""]}"
416403377558834,"{""Claims"": [""Darco Maslarkovski, one of the leaders of the Left party in Aerodrom and Skopje, announced on social media that he is leaving the party."", ""He will continue to work independently in the Council of the Municipality of Aerodrom."", ""The leader's decision to leave the party was announced on his social media accounts.""]}"
386369447461230,"{""Claims"": [""Darco Maslarevski, one of the frontmen of the Left Party in Aerodrom and Skopje, announced on social media that he is leaving the party"", ""He will continue to work independently at the Council of the Aerodrom Municipality"", ""He decided to leave the party""]}"
433636585668796,"{""Claims"": [""The rhetoric of the parties has become more damaging. In November and December 2023, there were no parties that did not use harmful narratives."", ""The increase in harmful narratives coincided with the period of preparation for forming the so-called technical government which is supposed to conduct the elections scheduled for May 2024.""]}"
785981946193583,"{""Claims"": [""The harmful party rhetoric is increasing."", ""There are parties that do not use harmful narratives at all in November and December 2023."", ""The growth of harmful narratives coincides with the period of preparation for the formation of the so-called technical government, which will implement the elections scheduled for May 2024.""]}"
420639120489146,"{""Claims"": [""The damaging party rhetoric is growing. Parties that didn't use harmful narratives in November and December 2023 can be counted on the fingers. "", ""The rise of harmful narratives coincides with the period of preparation for forming the so-called technical government, which is expected to conduct elections scheduled for May 2024.""]}"
671622425184262,"{""Claims"": [""Sign yourself for Vankovska"", ""The fight begins now"", ""Vankovska for President""]}"
1763782434447268,"{""Claims"": [""Macedonia has a legitimate option for president with Biljana Vankovska, who is truly left-wing, anti-imperialist, and pro-Macedonian."", ""We must contribute our share to help Biljana Vankovska win the presidential election and protect our interests."", ""Biljana Vankovska is a true representative of Macedonian interests and not a servant of foreign and domestic elites.""]}"
941822387313413,"{""Claims"": [""The struggle starts now - we will finally return Macedonia to the people"", ""This is just the beginning of a battle that will ultimately lead to change"", ""Now is the time to take action and break down the alternative""]}"
1392923228252576,"{""Claims"": [""A collection of signatures will be gathered for supporting the candidacy of Prof. Dr. Biljana Vankovska."", ""The gathering of signatures will take place at the departmental office of DIK in Prilep"", ""The location is the former object of Opstina Prilep, at the main entrance, first office to the left.""]}"
1443700759561583,"{""Claims"": [""Give your signature for Professor Biljana Vankovska as a presidential candidate"", ""Supporting the salvation of the homeland"", ""Vote in the struggle""]}"
379116754906725,"{""Claims"": [""Support the joint struggle for a better future!"", ""The procedure is as follows: ..."", ""You can identify yourself with your personal document (personal ID or passport, valid up to the 'North' expiration date)...""]}"
1626058018223216,"{""Claims"": [""Start of the fight that will finally return Macedonia to the people"", ""This is just the beginning of the battle to take back our country"", ""Fighting against irreversibility""]}"
1808823189618855,"{""Claims"": [""Write about Van\u010dovska"", ""Borbata has started with this"", ""Vancevka is about the chairman""]}"
